Term,Definition,Example,Image
Dividend,"A portion of a company's earnings distributed to shareholders.","Shareholders receive dividends as a reward for investing in the company.","https://www.investopedia.com/thmb/ILDJ-zoFAA89sua2isKJ2lp-ilQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Dividend-44d29cb374a34b1391ec3d48b08ecab6.jpg"
Index Fund,"A type of mutual fund designed to track a specific index, like the S&P 500.","An index fund aims to replicate the performance of an index, providing a diverse portfolio of stocks.","https://napkinfinance.com/wp-content/uploads/2017/01/NapkinFinance-IndexFunds-Napkin-07-20-20-v04.jpg"
Mutual Fund,"A pool of funds from many investors used to invest in a diversified portfolio of stocks, bonds, and other assets.","Investors buy units of the mutual fund which is managed by professionals.","https://cdn.corporatefinanceinstitute.com/assets/mutual-funds.png"
Yield,"The return on an investment, expressed as a percentage of the investment's initial cost.","The yield on a bond might be 5%, meaning you earn 5% of your investment each year.","https://a.c-dn.net/c/content/dam/publicsites/igcom/uk/images/news-article-image-folder/IG_yield.png/jcr:content/renditions/cq5dam.web.1280.1280.png"
Portfolio,"A collection of investments held by an individual or institution.","A portfolio may include stocks, bonds, and real estate investments.","https://www.investopedia.com/thmb/2pE33NYONlQWACDAxffNzvjJZK4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/conservativeportfolio-tardi-d19760c073f44c5b94bf060071963751.jpg"
Capital Gain,"Profit from the sale of an asset or investment.","If you sell a stock for a higher price than you bought it, the difference is a capital gain.","https://www.investopedia.com/thmb/7lgVTwV_8orWVzN3kOsup-hL478=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Capital-gain-2e9b43786c824dba8394bf73bd77f81e.jpg"
Expense Ratio,"The annual fee expressed as a percentage of average assets under management for a mutual fund or ETF.","If the expense ratio of a fund is 0.5%, you pay 0.5% of your investment annually.","https://m.foolcdn.com/media/dubs/images/expense-ratio-infographic.width-880.png"
ETF,"Exchange-Traded Fund; a type of fund that is traded on the stock exchange like a stock.","ETFs are typically composed of a basket of stocks or bonds, and can be traded throughout the day.","https://m.foolcdn.com/media/dubs/images/etfs-vs-mutual-funds.width-880.png"
Risk Premium,"The return in excess of the risk-free rate that investors require for taking on risk.","A stock may offer a risk premium higher than a government bond due to the potential for higher returns.","https://upload.wikimedia.org/wikipedia/commons/a/a5/Risk_Return_Function_with_Risk_Premium.png"
Rebalancing,"The process of adjusting the weightings of assets in a portfolio to maintain a desired allocation.","If stocks rise and bonds fall, you might sell some stocks and buy more bonds to rebalance.","https://www.definefinancial.com/wp-content/uploads/2020/10/Sell-High-Buy-Low.png"
